ProductStartUTC;ProductStartCET;Temperature;Consumption
2022-12-31 23:00:00;2023-01-01 00:00:00;12.2500000;836.0000000
2023-01-01 00:00:00;2023-01-01 01:00:00;12.1833333;829.0000000
2023-01-01 01:00:00;2023-01-01 02:00:00;12.1000000;794.0000000
2023-01-01 02:00:00;2023-01-01 03:00:00;12.2666666;760.0000000
2023-01-01 03:00:00;2023-01-01 04:00:00;12.1166666;739.0000000
2023-01-01 04:00:00;2023-01-01 05:00:00;11.9666666;751.0000000
2023-01-01 05:00:00;2023-01-01 06:00:00;12.1000000;794.0000000
2023-01-01 06:00:00;2023-01-01 07:00:00;11.9500000;846.0000000
2023-01-01 07:00:00;2023-01-01 08:00:00;11.9333333;834.0000000
2023-01-01 08:00:00;2023-01-01 09:00:00;11.9333333;880.0000000
2023-01-01 09:00:00;2023-01-01 10:00:00;12.0500000;856.0000000
2023-01-01 10:00:00;2023-01-01 11:00:00;11.9833333;831.0000000
2023-01-01 11:00:00;2023-01-01 12:00:00;13.0166666;820.0000000
2023-01-01 12:00:00;2023-01-01 13:00:00;12.5000000;821.0000000
2023-01-01 13:00:00;2023-01-01 14:00:00;12.2166666;842.0000000
2023-01-01 14:00:00;2023-01-01 15:00:00;12.3000000;902.0000000
2023-01-01 15:00:00;2023-01-01 16:00:00;12.1166666;981.0000000
2023-01-01 16:00:00;2023-01-01 17:00:00;11.8833333;1051.0000000
2023-01-01 17:00:00;2023-01-01 18:00:00;11.7166666;1069.0000000
2023-01-01 18:00:00;2023-01-01 19:00:00;11.6333333;1063.0000000
2023-01-01 19:00:00;2023-01-01 20:00:00;11.6000000;1047.0000000
2023-01-01 20:00:00;2023-01-01 21:00:00;11.4333333;989.0000000
2023-01-01 21:00:00;2023-01-01 22:00:00;11.4500000;917.0000000
2023-01-01 22:00:00;2023-01-01 23:00:00;11.4500000;853.0000000
2023-01-01 23:00:00;2023-01-02 00:00:00;11.4833333;798.0000000
2023-01-02 00:00:00;2023-01-02 01:00:00;11.2500000;759.0000000
2023-01-02 01:00:00;2023-01-02 02:00:00;10.8666666;725.0000000
2023-01-02 02:00:00;2023-01-02 03:00:00;10.7500000;727.0000000
2023-01-02 03:00:00;2023-01-02 04:00:00;10.5166666;754.0000000
2023-01-02 04:00:00;2023-01-02 05:00:00;11.1166666;788.0000000
2023-01-02 05:00:00;2023-01-02 06:00:00;11.1166666;820.0000000
2023-01-02 06:00:00;2023-01-02 07:00:00;11.2333333;896.0000000
2023-01-02 07:00:00;2023-01-02 08:00:00;11.3666666;966.0000000
2023-01-02 08:00:00;2023-01-02 09:00:00;11.5500000;995.0000000
2023-01-02 09:00:00;2023-01-02 10:00:00;11.7833333;986.0000000
2023-01-02 10:00:00;2023-01-02 11:00:00;11.8500000;994.0000000
2023-01-02 11:00:00;2023-01-02 12:00:00;11.6333333;974.0000000
2023-01-02 12:00:00;2023-01-02 13:00:00;11.7833333;970.0000000
2023-01-02 13:00:00;2023-01-02 14:00:00;11.7500000;972.0000000
2023-01-02 14:00:00;2023-01-02 15:00:00;11.6500000;1022.0000000
2023-01-02 15:00:00;2023-01-02 16:00:00;11.4500000;1111.0000000
2023-01-02 16:00:00;2023-01-02 17:00:00;11.3333333;1184.0000000
2023-01-02 17:00:00;2023-01-02 18:00:00;11.3833333;1222.0000000
2023-01-02 18:00:00;2023-01-02 19:00:00;11.1166666;1238.0000000
2023-01-02 19:00:00;2023-01-02 20:00:00;11.0166666;1187.0000000
2023-01-02 20:00:00;2023-01-02 21:00:00;10.8333333;1102.0000000
2023-01-02 21:00:00;2023-01-02 22:00:00;10.8500000;1018.0000000
2023-01-02 22:00:00;2023-01-02 23:00:00;10.9666666;935.0000000
2023-01-02 23:00:00;2023-01-03 00:00:00;10.7333333;883.0000000
2023-01-03 00:00:00;2023-01-03 01:00:00;10.8500000;825.0000000
2023-01-03 01:00:00;2023-01-03 02:00:00;10.8000000;798.0000000
2023-01-03 02:00:00;2023-01-03 03:00:00;9.4666666;796.0000000
2023-01-03 03:00:00;2023-01-03 04:00:00;8.5166666;859.0000000
2023-01-03 04:00:00;2023-01-03 05:00:00;8.0500000;1002.0000000
2023-01-03 05:00:00;2023-01-03 06:00:00;7.3333333;1274.0000000
2023-01-03 06:00:00;2023-01-03 07:00:00;7.0166666;1459.0000000
2023-01-03 07:00:00;2023-01-03 08:00:00;6.8666666;1500.0000000
2023-01-03 08:00:00;2023-01-03 09:00:00;6.9166666;1495.0000000
2023-01-03 09:00:00;2023-01-03 10:00:00;6.9833333;1497.0000000
2023-01-03 10:00:00;2023-01-03 11:00:00;7.3333333;1562.0000000
2023-01-03 11:00:00;2023-01-03 12:00:00;7.6166666;1588.0000000
2023-01-03 12:00:00;2023-01-03 13:00:00;7.7000000;1558.0000000
2023-01-03 13:00:00;2023-01-03 14:00:00;7.8333333;1537.0000000
2023-01-03 14:00:00;2023-01-03 15:00:00;7.9500000;1510.0000000
2023-01-03 15:00:00;2023-01-03 16:00:00;8.1000000;1537.0000000
2023-01-03 16:00:00;2023-01-03 17:00:00;8.1666666;1557.0000000
2023-01-03 17:00:00;2023-01-03 18:00:00;8.3000000;1558.0000000
2023-01-03 18:00:00;2023-01-03 19:00:00;8.4166666;1529.0000000
2023-01-03 19:00:00;2023-01-03 20:00:00;8.3833333;1489.0000000
2023-01-03 20:00:00;2023-01-03 21:00:00;8.2833333;1353.0000000
2023-01-03 21:00:00;2023-01-03 22:00:00;8.2333333;1252.0000000
2023-01-03 22:00:00;2023-01-03 23:00:00;8.2833333;1142.0000000
2023-01-03 23:00:00;2023-01-04 00:00:00;8.3000000;1073.0000000
2023-01-04 00:00:00;2023-01-04 01:00:00;8.2666666;1025.0000000
2023-01-04 01:00:00;2023-01-04 02:00:00;8.1166666;995.0000000
2023-01-04 02:00:00;2023-01-04 03:00:00;8.1166666;987.0000000
2023-01-04 03:00:00;2023-01-04 04:00:00;8.0833333;1037.0000000
2023-01-04 04:00:00;2023-01-04 05:00:00;7.9333333;1152.0000000
2023-01-04 05:00:00;2023-01-04 06:00:00;8.0000000;1400.0000000
2023-01-04 06:00:00;2023-01-04 07:00:00;7.9833333;1571.0000000
2023-01-04 07:00:00;2023-01-04 08:00:00;7.9666666;1609.0000000
2023-01-04 08:00:00;2023-01-04 09:00:00;8.0666666;1619.0000000
2023-01-04 09:00:00;2023-01-04 10:00:00;8.3500000;1572.0000000
2023-01-04 10:00:00;2023-01-04 11:00:00;8.6833333;1534.0000000
2023-01-04 11:00:00;2023-01-04 12:00:00;9.4500000;1523.0000000
2023-01-04 12:00:00;2023-01-04 13:00:00;9.7000000;1501.0000000
2023-01-04 13:00:00;2023-01-04 14:00:00;9.9333333;1433.0000000
2023-01-04 14:00:00;2023-01-04 15:00:00;10.0166666;1449.0000000
2023-01-04 15:00:00;2023-01-04 16:00:00;9.1833333;1527.0000000
2023-01-04 16:00:00;2023-01-04 17:00:00;7.8500000;1585.0000000
2023-01-04 17:00:00;2023-01-04 18:00:00;7.3166666;1594.0000000
2023-01-04 18:00:00;2023-01-04 19:00:00;6.7333333;1590.0000000
2023-01-04 19:00:00;2023-01-04 20:00:00;6.1333333;1531.0000000
2023-01-04 20:00:00;2023-01-04 21:00:00;5.5333333;1415.0000000
2023-01-04 21:00:00;2023-01-04 22:00:00;5.1500000;1317.0000000
2023-01-04 22:00:00;2023-01-04 23:00:00;5.0833333;1213.0000000
2023-01-04 23:00:00;2023-01-05 00:00:00;5.4333333;1105.0000000
2023-01-05 00:00:00;2023-01-05 01:00:00;5.6000000;1053.0000000
2023-01-05 01:00:00;2023-01-05 02:00:00;5.7333333;1019.0000000
2023-01-05 02:00:00;2023-01-05 03:00:00;5.8000000;1035.0000000
2023-01-05 03:00:00;2023-01-05 04:00:00;5.9500000;1056.0000000
2023-01-05 04:00:00;2023-01-05 05:00:00;6.4666666;1169.0000000
2023-01-05 05:00:00;2023-01-05 06:00:00;6.8833333;1443.0000000
