station id, station name, valid,T [°C],količina padavin [mm],globalno sev. [W/m2]
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 00:00,12.4,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 00:10,11.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 00:20,11.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 00:30,12,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 00:40,11.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 00:50,10.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 01:00,11.5,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 01:10,11,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 01:20,11.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 01:30,10.9,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 01:40,10.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 01:50,10.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 02:00,9.9,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 02:10,10.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 02:20,9.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 02:30,10.1,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 02:40,9.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 02:50,9.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 03:00,10.1,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 03:10,10.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 03:20,10.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 03:30,10.2,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 03:40,10.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 03:50,9.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 04:00,9.4,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 04:10,9.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 04:20,9.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 04:30,9.2,0,5
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-01 04:40,9.5,,
