date,consumption,temperature,precipitation,irradiation,cloudiness,holiday
2022-01-01 01:00:00,1018.0,-3.2,0.0,0.0,37.0,1.0
2022-01-01 02:00:00,975.0,-3.9,0.0,0.0,37.0,1.0
2022-01-01 03:00:00,944.0,-2.8,0.0,0.0,37.0,1.0
2022-01-01 04:00:00,936.0,-3.1,0.0,0.0,37.0,1.0
2022-01-01 05:00:00,952.0,-4.1,0.0,0.0,37.0,1.0
2022-01-01 06:00:00,999.0,-4.0,0.0,0.0,37.0,1.0
2022-01-01 07:00:00,1049.0,-3.8,0.0,0.0,37.0,1.0
2022-01-01 08:00:00,1092.0,-4.3,0.0,9.0,37.0,1.0
2022-01-01 09:00:00,1107.0,-2.0,0.0,86.0,37.0,1.0
2022-01-01 10:00:00,1101.0,-0.8,0.0,175.0,37.0,1.0
2022-01-01 11:00:00,1095.0,1.2,0.0,267.0,37.0,1.0
2022-01-01 12:00:00,1055.0,3.0,0.0,309.0,37.0,1.0
2022-01-01 13:00:00,1016.0,4.2,0.0,305.0,37.0,1.0
2022-01-01 14:00:00,1006.0,6.2,0.0,272.0,37.0,1.0
2022-01-01 15:00:00,1061.0,7.5,0.0,187.0,37.0,1.0
2022-01-01 16:00:00,1166.0,1.9,0.0,39.0,37.0,1.0
2022-01-01 17:00:00,1258.0,0.3,0.0,2.0,37.0,1.0
2022-01-01 18:00:00,1276.0,0.2,0.0,0.0,37.0,1.0
2022-01-01 19:00:00,1275.0,0.1,0.0,0.0,37.0,1.0
2022-01-01 20:00:00,1246.0,0.1,0.0,0.0,37.0,1.0
2022-01-01 21:00:00,1167.0,-0.4,0.0,0.0,37.0,1.0
2022-01-01 22:00:00,1091.0,-0.6,0.0,0.0,37.0,1.0
2022-01-01 23:00:00,1006.0,-1.2,0.0,0.0,37.0,1.0
2022-01-02 00:00:00,962.0,-1.7,0.0,0.0,40.0,1.0
2022-01-02 01:00:00,917.0,-1.8,0.0,0.0,40.0,1.0
2022-01-02 02:00:00,901.0,-2.8,0.0,0.0,40.0,1.0
2022-01-02 03:00:00,895.0,-2.4,0.0,0.0,40.0,1.0
2022-01-02 04:00:00,893.0,-2.9,0.0,0.0,40.0,1.0
2022-01-02 05:00:00,956.0,-2.8,0.0,0.0,40.0,1.0
2022-01-02 06:00:00,1034.0,-3.0,0.0,0.0,40.0,1.0
2022-01-02 07:00:00,1126.0,-3.8,0.0,0.0,40.0,1.0
2022-01-02 08:00:00,1210.0,-3.4,0.0,5.0,40.0,1.0
2022-01-02 09:00:00,1240.0,-3.2,0.0,56.0,40.0,1.0
2022-01-02 10:00:00,1228.0,0.2,0.0,204.0,40.0,1.0
2022-01-02 11:00:00,1199.0,0.5,0.0,277.0,40.0,1.0
