station id, station name, valid,T [°C],količina padavin [mm],globalno sev. [W/m2]
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 00:00,18.3,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 00:10,18.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 00:20,18.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 00:30,18,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 00:40,18,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 00:50,18.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 01:00,17.9,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 01:10,18,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 01:20,17.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 01:30,17.8,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 01:40,17.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 01:50,17.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 02:00,17.2,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 02:10,17.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 02:20,17.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 02:30,17.2,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 02:40,17.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 02:50,17,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 03:00,16.8,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 03:10,17,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 03:20,15.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 03:30,16.1,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 03:40,16.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 03:50,16.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 04:00,16.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 04:10,16.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 04:20,15.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 04:30,15.9,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 04:40,15.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 04:50,15.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 05:00,16,0,3
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 05:10,15.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 05:20,15.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 05:30,15.9,0,25
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 05:40,16.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 05:50,16.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 06:00,17.3,0,88
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 06:10,17.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 06:20,18,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 06:30,18.7,0,159
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 06:40,19.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 06:50,19.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 07:00,20.4,0,267
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 07:10,21,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 07:20,21.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 07:30,21,0,338
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 07:40,21.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 07:50,21,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 08:00,21.2,0,233
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 08:10,21.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 08:20,22.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 08:30,22.6,0,412
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 08:40,22.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 08:50,22.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 09:00,22.8,0,403
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 09:10,22.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 09:20,23.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 09:30,23.8,0,424
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 09:40,24.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 09:50,25,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 10:00,25.6,0,685
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 10:10,26,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 10:20,26.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 10:30,26.9,0,794
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 10:40,27.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 10:50,27.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 11:00,27.9,0,816
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 11:10,28.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 11:20,28.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 11:30,28.4,0,853
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 11:40,28.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 11:50,28.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 12:00,29.2,0,881
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 12:10,29.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 12:20,29.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 12:30,29.5,0,791
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 12:40,29,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 12:50,28.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 13:00,28,0,131
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 13:10,27.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 13:20,26.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 13:30,26.4,0,118
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 13:40,25.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 13:50,25.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 14:00,25.3,0,61
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 14:10,25,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 14:20,24.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 14:30,24.5,0,49
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 14:40,24.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 14:50,24.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 15:00,24.8,0,89
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 15:10,24.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 15:20,25.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 15:30,25.1,0,271
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 15:40,25,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 15:50,25,,
