date,consumption,temperature,precipitation,irradiation,price_SIPX,cloudiness,holiday
2022-01-01 01:00:00,1018.0,-3.2,0.0,0.0,51.44327,37.0,New Year's Day
2022-01-01 02:00:00,975.0,-3.9,0.0,0.0,55.91396,37.0,New Year's Day
2022-01-01 03:00:00,944.0,-2.8,0.0,0.0,46.94279,37.0,New Year's Day
2022-01-01 04:00:00,936.0,-3.1,0.0,0.0,37.6721,37.0,New Year's Day
2022-01-01 05:00:00,952.0,-4.1,0.0,0.0,39.7,37.0,New Year's Day
2022-01-01 06:00:00,999.0,-4.0,0.0,0.0,40.58627,37.0,New Year's Day
2022-01-01 07:00:00,1049.0,-3.8,0.0,0.0,43.26292,37.0,New Year's Day
2022-01-01 08:00:00,1092.0,-4.3,0.0,9.0,49.6593,37.0,New Year's Day
2022-01-01 09:00:00,1107.0,-2.0,0.0,86.0,70.04954,37.0,New Year's Day
2022-01-01 10:00:00,1101.0,-0.8,0.0,175.0,76.78827,37.0,New Year's Day
2022-01-01 11:00:00,1095.0,1.2,0.0,267.0,84.09861,37.0,New Year's Day
2022-01-01 12:00:00,1055.0,3.0,0.0,309.0,94.74,37.0,New Year's Day
2022-01-01 13:00:00,1016.0,4.2,0.0,305.0,96.79738,37.0,New Year's Day
2022-01-01 14:00:00,1006.0,6.2,0.0,272.0,97.17,37.0,New Year's Day
2022-01-01 15:00:00,1061.0,7.5,0.0,187.0,101.0,37.0,New Year's Day
2022-01-01 16:00:00,1166.0,1.9,0.0,39.0,126.60311,37.0,New Year's Day
2022-01-01 17:00:00,1258.0,0.3,0.0,2.0,149.9731,37.0,New Year's Day
2022-01-01 18:00:00,1276.0,0.2,0.0,0.0,146.33463,37.0,New Year's Day
2022-01-01 19:00:00,1275.0,0.1,0.0,0.0,140.28218,37.0,New Year's Day
2022-01-01 20:00:00,1246.0,0.1,0.0,0.0,121.88389,37.0,New Year's Day
2022-01-01 21:00:00,1167.0,-0.4,0.0,0.0,102.60927,37.0,New Year's Day
2022-01-01 22:00:00,1091.0,-0.6,0.0,0.0,97.46378,37.0,New Year's Day
2022-01-01 23:00:00,1006.0,-1.2,0.0,0.0,85.15867,37.0,New Year's Day
2022-01-02 00:00:00,962.0,-1.7,0.0,0.0,57.07848,40.0,New Year's Day
2022-01-02 01:00:00,917.0,-1.8,0.0,0.0,52.58649,40.0,New Year's Day
2022-01-02 02:00:00,901.0,-2.8,0.0,0.0,48.97417,40.0,New Year's Day
2022-01-02 03:00:00,895.0,-2.4,0.0,0.0,34.94069,40.0,New Year's Day
2022-01-02 04:00:00,893.0,-2.9,0.0,0.0,29.55949,40.0,New Year's Day
2022-01-02 05:00:00,956.0,-2.8,0.0,0.0,33.96974,40.0,New Year's Day
2022-01-02 06:00:00,1034.0,-3.0,0.0,0.0,34.51649,40.0,New Year's Day
2022-01-02 07:00:00,1126.0,-3.8,0.0,0.0,41.79673,40.0,New Year's Day
2022-01-02 08:00:00,1210.0,-3.4,0.0,5.0,48.94783,40.0,New Year's Day
2022-01-02 09:00:00,1240.0,-3.2,0.0,56.0,60.0062,40.0,New Year's Day
2022-01-02 10:00:00,1228.0,0.2,0.0,204.0,70.09017,40.0,New Year's Day
2022-01-02 11:00:00,1199.0,0.5,0.0,277.0,66.25527,40.0,New Year's Day
2022-01-02 12:00:00,1167.0,3.0,0.0,366.0,64.54234,40.0,New Year's Day
2022-01-02 13:00:00,1130.0,5.6,0.0,336.0,46.96491,40.0,New Year's Day
2022-01-02 14:00:00,1126.0,7.6,0.0,287.0,65.19346,40.0,New Year's Day
2022-01-02 15:00:00,1172.0,5.5,0.0,177.0,60.07324,40.0,New Year's Day
2022-01-02 16:00:00,1289.0,2.1,0.0,46.0,88.45866,40.0,New Year's Day
2022-01-02 17:00:00,1385.0,1.0,0.0,1.0,95.40073,40.0,New Year's Day
2022-01-02 18:00:00,1412.0,0.8,0.0,0.0,86.70908,40.0,New Year's Day
2022-01-02 19:00:00,1421.0,0.2,0.0,0.0,71.72,40.0,New Year's Day
2022-01-02 20:00:00,1382.0,-0.2,0.0,0.0,56.72824,40.0,New Year's Day
2022-01-02 21:00:00,1281.0,-0.2,0.0,0.0,46.16462,40.0,New Year's Day
2022-01-02 22:00:00,1192.0,-0.5,0.0,0.0,46.28878,40.0,New Year's Day
2022-01-02 23:00:00,1120.0,-1.6,0.0,0.0,32.93397,40.0,New Year's Day
2022-01-03 00:00:00,1063.0,-1.3,0.0,0.0,20.89311,80.0,0
2022-01-03 01:00:00,1016.0,-1.3,0.0,0.0,9.70069,80.0,0
2022-01-03 02:00:00,1006.0,-1.9,0.0,0.0,9.70069,80.0,0
2022-01-03 03:00:00,990.0,-1.1,0.0,0.0,7.07342,80.0,0
2022-01-03 04:00:00,1026.0,-1.6,0.0,0.0,8.98849,80.0,0
2022-01-03 05:00:00,1162.0,-1.6,0.0,0.0,15.33601,80.0,0
2022-01-03 06:00:00,1489.0,-1.8,0.0,0.0,162.86028,80.0,0
