station id, station name, valid,oblačnost [%]
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-01,37
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-02,40
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-03,80
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-04,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-05,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-06,80
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-07,43
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-08,17
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-09,83
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-10,47
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-11,10
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-12,7
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-13,20
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-14,0
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-15,7
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-16,43
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-17,57
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-18,23
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-19,30
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-20,30
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-21,40
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-22,40
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-23,63
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-24,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-25,17
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-26,57
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-27,73
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-28,20
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-29,70
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-30,10
_3049,Letališče Jožeta Pučnika Ljubljana,2022-01-31,97
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-01,70
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-02,53
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-03,40
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-04,33
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-05,57
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-06,73
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-07,70
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-08,7
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-09,20
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-10,10
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-11,40
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-12,17
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-13,40
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-14,83
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-15,97
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-16,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-17,57
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-18,53
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-19,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-20,77
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-21,93
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-22,53
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-23,13
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-24,47
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-25,67
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-26,63
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-27,73
_3049,Letališče Jožeta Pučnika Ljubljana,2022-02-28,17
